canonical_id,openalex_id,doi,title,year,publication_date,venue,work_type,cited_by,category,class_score,margin,seed_sim,rank_score,needs_review,review_reason,source,matched_query,llm_relevant,llm_class,llm_subtopic,llm_confidence,llm_reason,llm_decision,llm_model,llm_prompt_version,llm_reviewed_at
title:cadrecontrollableanddiversegenerationofsafetycriticaldrivingscenariosusingrealworldtrajectories,W4393100150,10.48550/arxiv.2403.13208,CaDRE: Controllable and Diverse Generation of Safety-Critical Driving Scenarios using Real-World Trajectories,2024,2024-03-19,arXiv (Cornell University),preprint,1,Trajectory-related,0.7674,0.3723,0.7427,0.7527,False,,auto-discovered,"""rare event"" ""autonomous vehicle""",,,,,,,,,
title:buildingarobustscenariolibraryforsafetyassuranceofautomateddrivingsystemsareview,W4411798945,10.1109/access.2025.3584206,Building a Robust Scenario Library for Safety Assurance of Automated Driving Systems: A Review,2025,2025-01-01,IEEE Access,article,3,Trajectory-related,0.6919,0.4052,0.7323,0.7523,False,,auto-discovered,"""rare event"" ""autonomous driving""",,,,,,,,,
title:testvectordevelopmentforverificationandvalidationofheavydutyautonomousvehicleoperations,W4394618459,10.4271/2024-01-1973,Test Vector Development for Verification and Validation of Heavy-Duty Autonomous Vehicle Operations,2024,2024-04-08,SAE International Journal of Advances and Current Practices in Mobility,article,2,Trajectory-related,0.724,0.376,0.7411,0.7511,False,,auto-discovered,"""edge case"" ""autonomous driving""",,,,,,,,,
title:scenariodrivensafetyverificationacomprehensiveframeworkforautonomousvehiclevalidationwithiniso26262,W4408444353,10.32628/cseit25112431,Scenario-Driven Safety Verification: A Comprehensive Framework for Autonomous Vehicle Validation within ISO 26262,2025,2025-03-12,International Journal of Scientific Research in Computer Science Engineering and Information Technology,article,1,Trajectory-related,0.7157,0.3903,0.73,0.75,False,,auto-discovered,"""edge case"" ""autonomous vehicle""",,,,,,,,,
title:towardsexploringadversariallearningforanomalydetectionincomplexdrivingscenes,W4384112277,10.48550/arxiv.2307.05256,Towards exploring adversarial learning for anomaly detection in complex driving scenes,2023,2023-06-17,arXiv (Cornell University),preprint,0,Perception-related,0.7868,0.2965,0.7498,0.7498,False,,auto-discovered,"""novelty detection"" ""autonomous driving""",,,,,,,,,
title:adrivervehiclemodelforadsscenariobasedtesting,W4393253057,10.1109/tits.2024.3373531,A Driver-Vehicle Model for ADS Scenario-Based Testing,2024,2024-03-28,IEEE Transactions on Intelligent Transportation Systems,article,16,Trajectory-related,0.719,0.4003,0.7396,0.7496,False,,auto-discovered,"""safety-critical scenario"" ""automated driving""",,,,,,,,,
title:worldenginetowardstheeraofposttrainingforautonomousdriving,W7165423471,,World Engine: Towards the Era of Post-Training for Autonomous Driving,2026,2026-06-18,arXiv (Cornell University),preprint,0,Trajectory-related,0.6802,0.3067,0.7187,0.7487,True,current-year zero-citation preprint; current-year missing DOI,auto-discovered,"""rare event"" ""autonomous driving""",,,,,,,,,
title:pcasimpromptableclosedloopadversarialsimulationforurbantrafficenvironment,W7161655548,,PCASim: Promptable Closed-loop Adversarial Simulation for Urban Traffic Environment,2026,2026-05-15,arXiv (Cornell University),preprint,0,Trajectory-related,0.6903,0.3482,0.7179,0.7479,True,current-year zero-citation preprint; current-year missing DOI,auto-discovered,"""corner case"" ""automated vehicle""",,,,,,,,,
title:fromwordstocollisionsllmguidedevaluationandadversarialgenerationofsafetycriticaldrivingscenarios,W4407185704,10.48550/arxiv.2502.02145,From Words to Collisions: LLM-Guided Evaluation and Adversarial Generation of Safety-Critical Driving Scenarios,2025,2025-02-04,arXiv (Cornell University),preprint,0,Trajectory-related,0.6709,0.4094,0.7278,0.7478,False,,auto-discovered,"""safety-critical scenario"" ""automated driving""",,,,,,,,,
title:asurveyontheapplicationsofgenerativeartificialintelligenceinautomateddrivingsystemstestscenariogenerationmethods,W7116070609,10.48550/arxiv.2512.15422,A Survey on the Applications of Generative Artificial Intelligence in Automated Driving Systems Test Scenario Generation Methods,2025,2025-12-17,arXiv (Cornell University),preprint,0,Trajectory-related,0.7498,0.3593,0.7277,0.7477,False,,auto-discovered,"""scenario generation"" ""automated driving""",,,,,,,,,
title:versatilebehaviordiffusionforgeneralizedtrafficagentsimulation,W7131827335,10.1109/tits.2026.3662886,Versatile Behavior Diffusion for Generalized Traffic Agent Simulation,2026,2026-02-27,IEEE Transactions on Intelligent Transportation Systems,article,1,Trajectory-related,0.7265,0.3774,0.7175,0.7475,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving""",,,,,,,,,
title:evaluationofdifferentgenerativemodelstosupportthevalidationofadvanceddriverassistancesystems,W4410761506,10.3390/applmech6020039,Evaluation of Different Generative Models to Support the Validation of Advanced Driver Assistance Systems,2025,2025-05-27,Applied Mechanics,article,3,Trajectory-related,0.7271,0.3435,0.7272,0.7472,False,,auto-discovered,"""safety-critical scenario"" ""automated driving""",,,,,,,,,
title:controllablecollisionscenariogenerationviacollisionpatternprediction,W4415269793,10.48550/arxiv.2510.12206,Controllable Collision Scenario Generation via Collision Pattern Prediction,2025,2025-10-14,arXiv (Cornell University),preprint,0,Trajectory-related,0.7309,0.3755,0.7249,0.7449,False,,auto-discovered,"""safety-critical scenario"" ""automated driving""",,,,,,,,,
title:hadgenhumanlikeanddiversedrivingbehaviormodelingforcontrollablescenariogeneration,W4414982678,10.1016/j.aap.2025.108270,HAD-Gen: Human-like and diverse driving behavior modeling for controllable scenario generation,2025,2025-10-06,Accident Analysis & Prevention,article,3,Trajectory-related,0.7189,0.2532,0.7247,0.7447,False,,auto-discovered,"""scenario generation"" ""autonomous vehicle""",,,,,,,,,
title:hspganopenlooptestingframeworkforautonomousdrivingbasedonproactivegenerationofhazardousscenario,W7128167454,10.1016/j.aap.2026.108449,HSPG: An open-loop testing framework for autonomous driving based on proactive generation of hazardous scenario,2026,2026-02-06,Accident Analysis & Prevention,article,1,Trajectory-related,0.7347,0.385,0.7143,0.7443,False,,auto-discovered,"""scenario generation"" ""autonomous driving""",,,,,,,,,
title:evaluationofautomateddrivingsystemsafetymetricswithloggedvehicletrajectorydata,W4390601256,10.48550/arxiv.2401.01501,Evaluation of automated driving system safety metrics with logged vehicle trajectory data,2024,2024-01-03,arXiv (Cornell University),preprint,0,Trajectory-related,0.8179,0.3872,0.7339,0.7439,False,,auto-discovered,"""near-miss"" ""automated driving""",,,,,,,,,
title:generatingedgecasesfortestingautonomousvehiclesusingrealworlddata,W4390235561,10.3390/s24010108,Generating Edge Cases for Testing Autonomous Vehicles Using Real-World Data,2023,2023-12-25,Sensors,article,17,Trajectory-related,0.7496,0.349,0.7439,0.7439,False,,auto-discovered,"""edge case"" ""autonomous driving""",,,,,,,,,
title:amultilevelframeworkfortrafficsafetyassessmentunderautomateddrivingfunctionalitiestheneedandoutlineofaholisticapproach,W4391338757,10.20485/jsaeijae.15.1_27,A Multi-Level Framework for Traffic Safety Assessment under Automated Driving Functionalities: the Need and Outline of a Holistic Approach,2024,2024-01-01,International Journal of Automotive Engineering,article,0,Trajectory-related,0.7413,0.3715,0.7332,0.7432,False,,auto-discovered,"""near-miss"" ""automated driving""",,,,,,,,,
title:scenariometricsforthesafetyassuranceframeworkofautomatedvehiclesareviewofitsapplication,W4414209257,10.3390/vehicles7030100,Scenario Metrics for the Safety Assurance Framework of Automated Vehicles: A Review of Its Application,2025,2025-09-13,Vehicles,article,2,Knowledge-driven,0.7156,0.4386,0.7231,0.7431,False,,auto-discovered,"""edge case"" ""automated driving""",,,,,,,,,
title:authsimtowardauthenticandeffectivesafetycriticalscenariogenerationforautonomousdrivingtests,W4413553311,10.1109/tits.2025.3586608,AuthSim: Toward Authentic and Effective Safety-Critical Scenario Generation for Autonomous Driving Tests,2025,2025-08-25,IEEE Transactions on Intelligent Transportation Systems,article,1,Trajectory-related,0.7872,0.3698,0.7204,0.7404,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving""",,,,,,,,,
title:regentsrealworldsafetycriticaldrivingscenariogenerationmadestable,W4403663323,10.48550/arxiv.2409.07830,ReGentS: Real-World Safety-Critical Driving Scenario Generation Made Stable,2024,2024-09-12,arXiv (Cornell University),preprint,0,Trajectory-related,0.7307,0.3069,0.7288,0.7388,False,,auto-discovered,"""safety-critical scenario"" ""self-driving""",,,,,,,,,
title:industrypracticesforchallengingautonomousdrivingsystemswithcriticalscenarios,W4390751909,10.1145/3640334,Industry Practices for Challenging Autonomous Driving Systems with Critical Scenarios,2024,2024-01-11,ACM Transactions on Software Engineering and Methodology,article,15,Knowledge-driven,0.7317,0.3556,0.7282,0.7382,False,,auto-discovered,"""edge case"" ""autonomous driving""",,,,,,,,,
title:groodgradientawareoutofdistributiondetection,W4390214551,10.48550/arxiv.2312.14427,GROOD: GRadient-Aware Out-of-Distribution Detection,2023,2023-12-22,arXiv (Cornell University),preprint,0,Perception-related,0.7628,0.5179,0.7379,0.7379,False,,auto-discovered,"""out-of-distribution"" ""self-driving""",,,,,,,,,
title:worldmodelbasedendtoendscenegenerationforaccidentanticipationinautonomousdriving,W4412993735,10.1038/s44172-025-00474-7,World model-based end-to-end scene generation for accident anticipation in autonomous driving,2025,2025-08-05,Communications Engineering,article,3,Trajectory-related,0.6499,0.3397,0.7171,0.7371,False,,auto-discovered,"""edge case"" ""autonomous driving""",,,,,,,,,
title:automaticgenerationofscenariosforsystemlevelsimulationbasedverificationofautonomousdrivingsystems,W4388699043,10.4204/eptcs.395.8,Automatic Generation of Scenarios for System-level Simulation-based Verification of Autonomous Driving Systems,2023,2023-11-15,Electronic Proceedings in Theoretical Computer Science,article,13,Trajectory-related,0.6934,0.3465,0.736,0.736,False,,auto-discovered,"""scenario generation"" ""autonomous driving""",,,,,,,,,
title:breakingthroughsafetyperformancestagnationinautonomousvehicleswithdenselearning,W7131359948,10.1038/s41467-026-69761-x,Breaking through safety performance stagnation in autonomous vehicles with dense learning,2026,2026-02-25,Nature Communications,article,0,Trajectory-related,0.715,0.2901,0.7056,0.7356,False,,auto-discovered,"""rare event"" ""automated vehicle""",,,,,,,,,
title:automatictestingofinteractingautonomousvehicles,W7169633077,,Automatic Testing of Interacting Autonomous Vehicles,2026,2026-07-14,arXiv (Cornell University),preprint,0,Trajectory-related,0.7156,0.4099,0.7054,0.7354,True,current-year zero-citation preprint; current-year missing DOI,auto-discovered,"""safety-critical scenario"" ""self-driving""",,,,,,,,,
title:anovoxabenchmarkformultimodalanomalydetectioninautonomousdriving,W4396914065,10.48550/arxiv.2405.07865,AnoVox: A Benchmark for Multimodal Anomaly Detection in Autonomous Driving,2024,2024-05-13,arXiv (Cornell University),preprint,1,Perception-related,0.7314,0.3254,0.7247,0.7347,False,,auto-discovered,"""corner case"" ""autonomous driving""",,,,,,,,,
title:cooolchallengeofoutoflabelanovelbenchmarkforautonomousdriving,W4405252871,10.48550/arxiv.2412.05462,COOOL: Challenge Of Out-Of-Label A Novel Benchmark for Autonomous Driving,2024,2024-12-06,arXiv (Cornell University),preprint,2,Perception-related,0.724,0.3872,0.7244,0.7344,False,,auto-discovered,"""anomaly detection"" ""autonomous driving""",,,,,,,,,
title:trainingadversarialyetsafeagenttocharacterizesafetyperformanceofhighlyautomatedvehicles,W4391556693,10.48550/arxiv.2402.01576,Training Adversarial yet Safe Agent to Characterize Safety Performance of Highly Automated Vehicles,2024,2024-02-02,arXiv (Cornell University),preprint,0,Trajectory-related,0.7696,0.3722,0.7239,0.7339,False,,auto-discovered,"""safety-critical scenario"" ""automated vehicle""",,,,,,,,,
title:generaladanomalydetectionacrossdomainsbyattendingtodistortedfeatures,W4402345809,10.48550/arxiv.2407.12427,GeneralAD: Anomaly Detection Across Domains by Attending to Distorted Features,2024,2024-07-17,arXiv (Cornell University),preprint,0,Perception-related,0.7592,0.4866,0.7238,0.7338,False,,auto-discovered,"""novelty detection"" ""self-driving""",,,,,,,,,
title:curricuvlmtowardssafeautonomousdrivingviapersonalizedsafetycriticalcurriculumlearningwithvisionlanguagemodels,W7128522422,10.1016/j.trc.2026.105549,CurricuVLM: Towards safe autonomous driving via personalized safety-critical curriculum learning with vision-language models,2026,2026-02-10,Transportation Research Part C Emerging Technologies,article,2,Trajectory-related,0.6464,0.3173,0.7038,0.7338,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving""",,,,,,,,,
title:safersafetycriticalscenariogenerationforautonomousdrivingtestviafeasibilityconstrainedtokenresampling,W7134017017,,SaFeR: Safety-Critical Scenario Generation for Autonomous Driving Test via Feasibility-Constrained Token Resampling,2026,2026-03-04,arXiv (Cornell University),preprint,0,Trajectory-related,0.6721,0.3164,0.7038,0.7338,True,current-year zero-citation preprint; current-year missing DOI,auto-discovered,"""safety-critical scenario"" ""self-driving""",,,,,,,,,
title:anomalyawaresemanticsegmentationviastylealignedoodaugmentation,W4386080973,10.48550/arxiv.2308.09965,Anomaly-Aware Semantic Segmentation via Style-Aligned OoD Augmentation,2023,2023-08-19,arXiv (Cornell University),preprint,0,Perception-related,0.7529,0.4698,0.7337,0.7337,False,,auto-discovered,"""novelty detection"" ""autonomous driving""",,,,,,,,,
title:advscesafetycriticalscenariogenerationfortestingautonomousdrivingsystems,W4321603468,10.1360/ssi-2022-0317,AdvSce: safety-critical scenario generation for testing autonomous driving systems,2023,2023-02-23,Scientia Sinica Informationis,article,2,Trajectory-related,0.6992,0.3472,0.7333,0.7333,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving""",,,,,,,,,
title:safetycenteredscenariogenerationforautonomousvehicles,W7134016841,,Safety-Centered Scenario Generation for Autonomous Vehicles,2026,2026-03-03,ArXiv.org,preprint,0,Trajectory-related,0.728,0.4422,0.7032,0.7332,True,current-year zero-citation preprint; current-year missing DOI,auto-discovered,"""near-miss"" ""autonomous vehicle""",,,,,,,,,
title:openworldsemanticsegmentationincludingclasssimilarity,W4392781063,10.48550/arxiv.2403.07532,Open-World Semantic Segmentation Including Class Similarity,2024,2024-03-12,arXiv (Cornell University),preprint,1,Perception-related,0.7071,0.3909,0.7232,0.7332,False,,auto-discovered,"""out-of-distribution"" ""autonomous vehicle""",,,,,,,,,
title:learningaunifiedriskmapforautonomousdrivinginpartiallyobservableenvironments,W7130540511,10.1109/lra.2026.3666393,Learning a Unified Risk Map for Autonomous Driving in Partially Observable Environments,2026,2026-02-19,IEEE Robotics and Automation Letters,article,1,Trajectory-related,0.679,0.346,0.7032,0.7332,False,,auto-discovered,"""corner case"" ""autonomous driving""",,,,,,,,,
title:autonomousvehiclestestingconsideringutilitybasedoperabletasks,W4377089896,10.26599/tst.2022.9010037,Autonomous Vehicles Testing Considering Utility-Based Operable Tasks,2023,2023-05-19,Tsinghua Science & Technology,article,12,Trajectory-related,0.718,0.3609,0.7331,0.7331,False,,auto-discovered,"""corner case"" ""automated driving""",,,,,,,,,
title:riskawarevehicletrajectorypredictionundersafetycriticalscenarios,W4406457478,10.1109/tits.2025.3525744,Risk-Aware Vehicle Trajectory Prediction Under Safety-Critical Scenarios,2025,2025-01-16,IEEE Transactions on Intelligent Transportation Systems,article,11,Trajectory-related,0.6763,0.3484,0.7131,0.7331,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving""",,,,,,,,,
title:fromdrivingvideostosimulatablescenarios,W7165816062,,From Driving Videos to Simulatable Scenarios,2026,2026-06-20,arXiv (Cornell University),preprint,0,Trajectory-related,0.6837,0.3583,0.7029,0.7329,True,current-year zero-citation preprint; current-year missing DOI,auto-discovered,"""rare event"" ""automated vehicle""",,,,,,,,,
title:howcertainarewethatourautomateddrivingsystemissafe,W4379093295,10.1080/15389588.2023.2186733,How certain are we that our automated driving system is safe?,2023,2023-04-21,Traffic Injury Prevention,article,13,Trajectory-related,0.7388,0.3918,0.7324,0.7324,False,,auto-discovered,"""surrogate safety"" ""autonomous driving""",,,,,,,,,
title:dissectingoutofdistributiondetectionandopensetrecognitionacriticalanalysisofmethodsandbenchmarks,W4403132335,10.1007/s11263-024-02222-4,Dissecting Out-of-Distribution Detection and Open-Set Recognition: A Critical Analysis of Methods and Benchmarks,2024,2024-10-04,International Journal of Computer Vision,article,8,Perception-related,0.723,0.4468,0.7223,0.7323,False,,auto-discovered,"""out-of-distribution"" ""autonomous vehicle""",,,,,,,,,
title:safetyanalysisofautonomousdrivingsystemsasimulationbasedruntimeverificationapproach,W4409991652,10.1109/tr.2025.3561455,Safety Analysis of Autonomous Driving Systems: A Simulation-Based Runtime Verification Approach,2025,2025-05-01,IEEE Transactions on Reliability,article,3,Trajectory-related,0.7117,0.3957,0.7122,0.7322,False,,auto-discovered,"""critical scenario"" ""autonomous driving""",,,,,,,,,
title:outofdistributiondetectionampapplicationswithablatedlearnedtemperatureenergy,W4391159027,10.48550/arxiv.2401.12129,Out-of-Distribution Detection &amp; Applications With Ablated Learned Temperature Energy,2024,2024-01-22,arXiv (Cornell University),preprint,0,Perception-related,0.735,0.4863,0.722,0.732,False,,auto-discovered,"""out-of-distribution"" ""self-driving""",,,,,,,,,
title:simulationbasedlogicalscenariogenerationandanalysismethodologyforevaluationofautonomousdrivingsystems,W4408181511,10.1109/access.2025.3548906,Simulation-Based Logical Scenario Generation and Analysis Methodology for Evaluation of Autonomous Driving Systems,2025,2025-01-01,IEEE Access,article,3,Knowledge-driven,0.7087,0.3516,0.7118,0.7318,False,,auto-discovered,"""scenario generation"" ""autonomous driving""",,,,,,,,,
title:flarelearningfutureawarelatentrepresentationsfromvisionlanguagemodelsforautonomousdriving,W7123371844,,FLARE: Learning Future-Aware Latent Representations from Vision-Language Models for Autonomous Driving,2026,2026-01-01,ArXiv.org,preprint,0,Trajectory-related,0.6366,0.2446,0.7017,0.7317,True,current-year zero-citation preprint; current-year missing DOI,auto-discovered,"""near-miss"" ""autonomous driving""",,,,,,,,,
title:aprobabilisticadversarialautoencoderfornoveltydetectionleveraginglightweightdesignandreconstructionloss,W4411055178,10.1109/access.2025.3577080,A Probabilistic Adversarial Autoencoder for Novelty Detection: Leveraging Lightweight Design and Reconstruction Loss,2025,2025-01-01,IEEE Access,article,3,Perception-related,0.7161,0.478,0.7114,0.7314,False,,auto-discovered,"""novelty detection"" ""self-driving""",,,,,,,,,
title:safesimsafetycriticalclosedlooptrafficsimulationwithdiffusioncontrollableadversaries,W4390528731,10.48550/arxiv.2401.00391,SAFE-SIM: Safety-Critical Closed-Loop Traffic Simulation with Diffusion-Controllable Adversaries,2023,2023-12-31,arXiv (Cornell University),preprint,1,Trajectory-related,0.6842,0.39,0.7312,0.7312,False,,auto-discovered,"""safety-critical scenario"" ""autonomous vehicle""",,,,,,,,,
title:divnedsdiversenaturalisticedgedrivingscenedatasetforautonomousvehiclesceneunderstanding,W4396215008,10.1109/access.2024.3394530,DivNEDS: Diverse Naturalistic Edge Driving Scene Dataset for Autonomous Vehicle Scene Understanding,2024,2024-01-01,IEEE Access,article,3,Perception-related,0.6575,0.2955,0.7205,0.7305,False,,auto-discovered,"""out-of-distribution"" ""autonomous vehicle""",,,,,,,,,
title:runtimesafetymonitoringofdeepneuralnetworksforperceptionasurvey,W4416156998,10.48550/arxiv.2511.05982,Runtime Safety Monitoring of Deep Neural Networks for Perception: A Survey,2025,2025-11-08,arXiv (Cornell University),preprint,0,Perception-related,0.7169,0.3731,0.7102,0.7302,False,,auto-discovered,"""novelty detection"" ""autonomous driving""",,,,,,,,,
title:normalizingflowbasedfeaturesynthesisforoutlierawareobjectdetection,W4321014033,10.48550/arxiv.2302.07106,Normalizing Flow based Feature Synthesis for Outlier-Aware Object Detection,2023,2023-02-01,arXiv (Cornell University),preprint,0,Perception-related,0.7503,0.4663,0.73,0.73,False,,auto-discovered,"""novelty detection"" ""autonomous driving""",,,,,,,,,
title:multimodalanomalydetectionincomplexenvironmentsusingvideoandaudiofusion,W4410250250,10.1038/s41598-025-01146-4,Multimodal anomaly detection in complex environments using video and audio fusion,2025,2025-05-10,Scientific Reports,article,16,Perception-related,0.6441,0.4322,0.7096,0.7296,False,,auto-discovered,"""anomaly detection"" ""autonomous driving""",,,,,,,,,
title:aphysicsinformedtrainonsyntheticandtestonrealmethodforevaluatinglargelanguagemodelgeneratedsafetycriticaltrafficscenarios,W4414305423,10.1111/mice.70071,A physics‐informed train on synthetic and test on real method for evaluating large language model‐generated safety‐critical traffic scenarios,2025,2025-09-18,Computer-Aided Civil and Infrastructure Engineering,article,4,Trajectory-related,0.7597,0.3934,0.7092,0.7292,False,,auto-discovered,"""corner case"" ""autonomous vehicle""",,,,,,,,,
title:integratedscenariobasedanalysisadatadrivenapproachtosupportautomateddrivingsystemsdevelopmentandsafetyevaluation,W4401202404,10.48550/arxiv.2407.19975,Integrated Scenario-based Analysis: A data-driven approach to support automated driving systems development and safety evaluation,2024,2024-07-29,arXiv (Cornell University),preprint,0,Trajectory-related,0.7449,0.399,0.7191,0.7291,False,,auto-discovered,"""edge case"" ""automated driving""",,,,,,,,,
title:acrossmethodologicalreviewonthesafetyeffectsofpartialvehicleautomation,W7118176853,10.1016/j.trip.2025.101834,A cross-methodological review on the safety effects of partial vehicle automation,2026,2026-01-05,Transportation Research Interdisciplinary Perspectives,article,1,Trajectory-related,0.6904,0.3029,0.6983,0.7283,False,,auto-discovered,"""surrogate safety"" ""automated vehicle""",,,,,,,,,
title:sgcadvlmacontextawaredecodingpoweredvisionlanguagemodelforsafetycriticalscenariogeneration,W7125878674,,SG-CADVLM: A Context-Aware Decoding Powered Vision Language Model for Safety-Critical Scenario Generation,2026,2026-01-26,arXiv (Cornell University),preprint,0,Trajectory-related,0.6756,0.382,0.698,0.728,True,current-year zero-citation preprint; current-year missing DOI,auto-discovered,"""safety-critical scenario"" ""automated driving""",,,,,,,,,
title:adversarialsafetycriticalscenariogenerationusingnaturalistichumandrivingpriors,W4388936562,10.1109/tiv.2023.3335862,Adversarial Safety-Critical Scenario Generation Using Naturalistic Human Driving Priors,2023,2023-11-23,IEEE Transactions on Intelligent Vehicles,article,26,Trajectory-related,0.7121,0.3191,0.7279,0.7279,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving""",,,,,,,,,
title:advdiffusergeneratingadversarialsafetycriticaldrivingscenariosviaguideddiffusion,W4403444223,10.48550/arxiv.2410.08453,AdvDiffuser: Generating Adversarial Safety-Critical Driving Scenarios via Guided Diffusion,2024,2024-10-11,arXiv (Cornell University),preprint,1,Trajectory-related,0.6759,0.3104,0.7178,0.7278,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving""",,,,,,,,,
title:unseenhazardrecognitioninautonomousdrivingusingvisionlanguageandsensorbasedtemporalmodels,W7127128148,10.3390/app16031503,Unseen Hazard Recognition in Autonomous Driving Using Vision–Language and Sensor-Based Temporal Models,2026,2026-02-02,Applied Sciences,article,0,Perception-related,0.6709,0.3213,0.697,0.727,False,,auto-discovered,"""novelty detection"" ""autonomous driving""",,,,,,,,,
