canonical_id,openalex_id,doi,title,year,publication_date,venue,work_type,cited_by,category,label_source,fig_include,class_score,margin,seed_sim,needs_review,review_reason,source,abstract,llm_relevant,llm_class,llm_subtopic,llm_confidence,llm_reason,llm_decision,llm_model,llm_prompt_version,llm_reviewed_at
title:crashdataqualityforroadsafetyresearchcurrentstateandfuturedirections,W2593201274,,Crash data quality for road safety research: Current state and future directions,2019,,Accident Analysis {\&} Prevention,,191,Knowledge-driven,groundtruth,1,,,,False,,seed,,,,,,,,,,
title:credibleautonomysafetyargumentation,W7125637341,,Credible Autonomy Safety Argumentation,2019,,,,0,Background,background,0,,,,False,,seed,"A significant challenge to deploying mission- and safety-critical autonomous systems is the difficulty of creating a credible assurance argument. This paper collects lessons learned from having observed both credible and faulty assurance argumentation attempts, with a primary emphasis on autonomous ground vehicle safety cases. Various common argumentation approaches are described, including conformance to a non-autonomy safety standard, proven in use, field testing, simulation, and formal verification. Of particular note are argumentation faults and anti-patterns that have shown up in numerous safety cases that we have encountered. These observations can help both designers and auditors detect common mistakes in safety argumentation for autonomous systems",,,,,,,,,
title:criticalscenarioidentificationconcepttheroleofthescenariointheloopapproachinfutureautomotivetesting,W4385236720,10.1109/access.2023.3298875,Critical Scenario Identification Concept: The Role of the Scenario-in-the-Loop Approach in Future Automotive Testing,2023,,IEEE Access,,7,Trajectory-related,predicted,0,,,,False,,seed,"Innovative testing and validation methods are prerequisites concerning Connected, Cooperative, and Automated Mobility (CCAM) as the high number of cooperating participants and concurrent processes critically increase the probability of adverse safety and security incidents. The proposed new approaches deal with this increasing complexity of not currently having generally accepted validation mechanisms. The paper introduces a novel, mathematical model based, scenario identification methodology, facilitating the selection of critical road vehicle traffic scenarios, taking into account different testing objectives, such as maximizing the safety risk of the analyzed system. The presented results verify that applying specific decision models and quantifiable indicators related to the system elements of highly automated mobility systems can significantly contribute to the systematic identification of unsafe corner cases in connected and cooperative autonomous systems.",,,,,,,,,
title:criticalityanalysisfortheverificationandvalidationofautomatedvehicles,W3124527002,10.1109/access.2021.3053159,Criticality Analysis for the Verification and Validation of Automated Vehicles,2021,,IEEE Access,,123,Knowledge-driven,groundtruth,1,,,,False,,seed,"The process of verification and validation of automated vehicles poses a multi-faceted challenge with far-reaching societal, economical and ethical consequences. In particular, fully automated vehicles at SAE Level 4 and 5 will be expected to operate safely in an arbitrarily complex, infinite-dimensional domain called open context. In order to give structure to the open context, we propose a methodical criticality analysis that maps an infinite-dimensional domain onto a finite and manageable set of artifacts that capture and explain the emergence of critical situations for automated vehicles. We propose a combined approach of expert-based and data-driven methods to identify relevant phenomena and explain the underlying causalities. Leveraging on abstraction, we define a clearly laid out process that converges towards a manageable set of artifacts based on two assumptions on the nature of traffic. A criticality analysis precedes the design phase of an automated vehicle and is therefore located outside the V-model. As the open context is analyzed independently of a concrete realization, it is relevant for any automated vehicle operating within that domain. Therefore, its results can subsequently be used to derive safety principles and mitigation mechanisms for automated driving and to set up a coherent safety argument for the homologation process.",,,,,,,,,
title:criticalitymetricsforautomateddrivingareviewandsuitabilityanalysisofthestateoftheart,W3190994148,10.1007/s11831-022-09788-7,Criticality Metrics for Automated Driving: A Review and Suitability Analysis of the State of the Art,2023,,Archives of Computational Methods in Engineering,,130,Trajectory-related,groundtruth,1,,,,False,,seed,"Abstract The large-scale deployment of automated vehicles on public roads has the potential to vastly change the transportation modalities of today’s society. Although this pursuit has been initiated decades ago, there still exist open challenges in reliably ensuring that such vehicles operate safely in open contexts. While functional safety is a well-established concept, the question of measuring the behavioral safety of a vehicle remains subject to research. One way to both objectively and computationally analyze traffic conflicts is the development and utilization of so-called criticality metrics. Contemporary approaches have leveraged the potential of criticality metrics in various applications related to automated driving, e.g. for computationally assessing the dynamic risk or filtering large data sets to build scenario catalogs. As a prerequisite to systematically choose adequate criticality metrics for such applications, we extensively review the state of the art of criticality metrics, their properties, and their applications in the context of automated driving. Based on this review, we propose a suitability analysis as a methodical tool to be used by practitioners. Both the proposed method and the state of the art review can then be harnessed to select well-suited measurement tools that cover an application’s requirements, as demonstrated by an exemplary execution of the analysis. Ultimately, efficient, valid, and reliable measurements of an automated vehicle’s safety performance are a key requirement for demonstrating its trustworthiness.",,,,,,,,,
title:cutoutscenariogenerationwithreasonabilityforeseeableparameterrangefromrealhighwaydatasetforautonomousvehicleassessment,W4366503832,10.1109/access.2023.3268703,Cut-Out Scenario Generation With Reasonability Foreseeable Parameter Range From Real Highway Dataset for Autonomous Vehicle Assessment,2023,,IEEE Access,,25,Trajectory-related,groundtruth,1,,,,False,,seed,"This study aims to generate test cases for scenario-based assessment of automated driving systems (ADS) when encountering a cut-out maneuver where the lead vehicle having changed lanes, revealing a new lead vehicle that, in some cases, is slower than the original lead (the cutting-out) vehicle. We extracted the cut-out scenarios from an established real-world traffic dataset recorded by instrumented vehicles on Japanese highways and then defined using vehicle kinematic parameters (velocities and distances). The extracted scenarios were analyzed based on the direct correlation between every two consecutive vehicles: a rear part that describes the correlation between the following vehicle and the cutting-out vehicles; and a frontal part that describes the correlation between the cutting-out vehicle and the preceding vehicle. Parameter ranges were quantified with a regression model and determined based on the risk acceptance threshold applied in the field of Japanese high-speed trains and annual exposure by professional highway drivers to produce a scenario space with a reasonably foreseeable range in which ADS may not produce crashes lest it performs worse than human drivers. A multi-dimensional distribution analytical approach was used to derive a correlation between the following vehicle and the preceding vehicle considering the initial longitudinal velocities. Results suggest that there should be no risk of a collision between the following vehicle and the preceding vehicle when the time headway between the following vehicle and the cutting-out vehicle is equal to or more than 2 s. These findings can help to understand normative driver behavior during cut-out scenarios and to generate accident-free scenario space for which ADS must perform flawlessly.",,,,,,,,,
title:deeplearningforanomalydetectionareview,W3040266635,10.1145/3439950,Deep Learning for Anomaly Detection: A Review,2021,,ACM Computing Surveys,,2430,Trajectory-related,groundtruth,1,,,,False,,seed,"Anomaly detection, a.k.a. outlier detection or novelty detection, has been a lasting yet active research area in various research communities for several decades. There are still some unique problem complexities and challenges that require advanced approaches. In recent years, deep learning enabled anomaly detection, i.e., deep anomaly detection , has emerged as a critical direction. This article surveys the research of deep anomaly detection with a comprehensive taxonomy, covering advancements in 3 high-level categories and 11 fine-grained categories of the methods. We review their key intuitions, objective functions, underlying assumptions, advantages, and disadvantages and discuss how they address the aforementioned challenges. We further discuss a set of possible future opportunities and new perspectives on addressing the challenges.",,,,,,,,,
title:deeptestautomatedtestingofdeepneuralnetworkdrivenautonomouscars,W2753704268,,Deeptest: Automated testing of deep-neural-network-driven autonomous cars,2018,,Proceedings of the 40th international conference on software engineering,,221,Trajectory-related,predicted,0,,,,False,,seed,"Recent advances in Deep Neural Networks (DNNs) have led to the development of DNN-driven autonomous cars that, using sensors like camera, LiDAR, etc., can drive without any human intervention. Most major manufacturers including Tesla, GM, Ford, BMW, and Waymo/Google are working on building and testing different types of autonomous vehicles. The lawmakers of several US states including California, Texas, and New York have passed new legislation to fast-track the process of testing and deployment of autonomous vehicles on their roads. However, despite their spectacular progress, DNNs, just like traditional software, often demonstrate incorrect or unexpected corner case behaviors that can lead to potentially fatal collisions. Several such real-world accidents involving autonomous cars have already happened including one which resulted in a fatality. Most existing testing techniques for DNN-driven vehicles are heavily dependent on the manual collection of test data under different driving conditions which become prohibitively expensive as the number of test conditions increases. In this paper, we design, implement and evaluate DeepTest, a systematic testing tool for automatically detecting erroneous behaviors of DNN-driven vehicles that can potentially lead to fatal crashes. First, our tool is designed to automatically generated test cases leveraging real-world changes in driving conditions like rain, fog, lighting conditions, etc. DeepTest systematically explores different parts of the DNN logic by generating test inputs that maximize the numbers of activated neurons. DeepTest found thousands of erroneous behaviors under different realistic driving conditions (e.g., blurring, rain, fog, etc.) many of which lead to potentially fatal crashes in three top performing DNNs in the Udacity self-driving car challenge.",,,,,,,,,
title:defininginteractionsaconceptualframeworkforunderstandinginteractivebehaviourinhumanandautomatedroadtraffic,W3011630888,10.1080/1463922x.2020.1736686,Defining interactions: a conceptual framework for understanding interactive behaviour in human and automated road traffic,2020,,Theoretical Issues in Ergonomics Science,,219,Trajectory-related,predicted,0,,,,False,,seed,"Rapid advances in technology for highly automated vehicles (HAVs) have raised concerns about coexistence of HAVs and human road users. Although there is a long tradition of research into human road user interactions, there is a lack of shared models and terminology to support cross-disciplinary research and development towards safe and acceptable interaction-capable HAVs. Here, we review the main themes and findings in previous theoretical and empirical interaction research, and find large variability in perspectives and terminologies. We unify these perspectives in a structured, cross-theoretical conceptual framework, describing what road traffic interactions are, how they arise, and how they get resolved. Two key contributions are: (1) a stringent definition of “interaction”, as “a situation where the behaviour of at least two road users can be interpreted as being influenced by the possibility that they are both intending to occupy the same region of space at the same time in the near future”, and (2) a taxonomy of the types of behaviours that road users exhibit in interactions. We hope that this conceptual framework will be useful in the development of improved empirical methodology, theoretical models, and technical requirements on vehicle automation.",,,,,,,,,
title:definingreasonablyforeseeableparameterrangesusingrealworldtrafficdataforscenariobasedsafetyassessmentofautomatedvehicles,W4225524751,10.1109/access.2022.3162601,Defining Reasonably Foreseeable Parameter Ranges Using Real-World Traffic Data for Scenario-Based Safety Assessment of Automated Vehicles,2022,,IEEE Access,,33,Knowledge-driven,groundtruth,1,,,,False,,seed,"Verification and validation of automated driving systems’ safety are some of the biggest challenges for the introduction of automated vehicles into the market. Scenario-based safety assessment is an efficient and repeatable method to test the systems’ safety before their deployment in the real world. However, even with limited traffic situations identified as critical to the system behavior, there is still an open range of parameters to describe each situation. Thus, defining specific parameter ranges is crucial to realize the scenario-based safety assessment approach. This study proposes a method to parameterize scenarios extracted from real-world traffic data, analyze their distribution and correlation, and incorporate them into the definition of reasonably foreseeable parameter ranges through the contextualization of resulting ranges with reasonable risk acceptance thresholds from different fields and international environments. Representative values can be selected from these specific parameter ranges to extract specific concrete scenarios applicable for the systems safety assessment. The applicability of the proposed method is demonstrated using parameter ranges obtained to define two sets of 960 cut-in and 6,442 deceleration scenarios extracted from a new set of traffic data collected from Japanese highways under the SAKURA initiative. The outcomes will enable comparisons with traffic data from other countries and inform automated driving system developers, standardization bodies, and policymakers to develop automated vehicle safety assessments applicable internationally.",,,,,,,,,
title:descriptionofcornercasesinautomateddrivinggoalsandchallenges,W3201551811,,Description of Corner Cases in Automated Driving: Goals and Challenges,2021,,,,2,Knowledge-driven,groundtruth,1,,,,False,,seed,"Scaling the distribution of automated vehicles requires handling various unexpected and possibly dangerous situations, termed corner cases (CC). Since many modules of automated driving systems are based on machine learning (ML), CC are an essential part of the data for their development. However, there is only a limited amount of CC data in large-scale data collections, which makes them challenging in the context of ML. With a better understanding of CC, offline applications, e.g., dataset analysis, and online methods, e.g., improved performance of automated driving systems, can be improved. While there are knowledge-based descriptions and taxonomies for CC, there is little research on machine-interpretable descriptions. In this extended abstract, we will give a brief overview of the challenges and goals of such a description.",,,,,,,,,
title:efficientstatisticalvalidationwithedgecasestoevaluatehighlyautomatedvehicles,W3009270788,10.1109/itsc45102.2020.9294590,Efficient statistical validation with edge cases to evaluate Highly Automated Vehicles,2020,,IEEE 23rd International Conference on Intelligent Transportation Systems (ITSC),,2,Trajectory-related,predicted,0,,,,False,,seed,"The widescale deployment of Autonomous Vehicles (AV) seems to be imminent despite many safety challenges that are yet to be resolved. It is well known that there are no universally agreed Verification and Validation (VV) methodologies to guarantee absolute safety, which is crucial for the acceptance of this technology. Existing standards focus on deterministic processes where the validation requires only a set of test cases that cover the requirements. Modern autonomous vehicles will undoubtedly include machine learning and probabilistic techniques that require a much more comprehensive testing regime due to the non-deterministic nature of the operating design domain. A rigourous statistical validation process is an essential component required to address this challenge. Most research in this area focuses on evaluating system performance in large scale real-world data gathering exercises (number of miles travelled), or randomised test scenarios in simulation. This paper presents a new approach to compute the statistical characteristics of a system's behaviour by biasing automatically generated test cases towards the worst case scenarios, identifying potential unsafe edge cases. We use reinforcement learning (RL) to learn the behaviours of simulated actors that cause unsafe behaviour measured by the well established RSS safety metric. We demonstrate that by using the method we can more efficiently validate a system using a smaller number of test cases by focusing the simulation towards the worst case scenario, generating edge cases that correspond to unsafe situations.",,,,,,,,,
title:endtoendautonomousdrivingriskanalysisabehaviouralanomalydetectionapproach,W3047056580,10.1109/tits.2020.2975043,End-to-End Autonomous Driving Risk Analysis: A Behavioural Anomaly Detection Approach,2021,,IEEE Transactions on Intelligent Transportation Systems,,67,Assessment,groundtruth,1,,,,False,,seed,"Autonomous vehicles (AV) have advanced considerably over the past decade and their potential to reduce road accidents is without equal. That said, the evolution towards fully automated driving will be accompanied by new and unfamiliar risks. The deployment of AVs hinges on the premise that they are considerably safer than human drivers. However, the ability of manufacturers, insurers and regulators to quantifiably demonstrate this risk reduction, relative to humans, presents a major barrier. Based on accident rates, it will likely take hundreds of millions of autonomous miles to derive statistically meaningful results. This paper addresses this issue and proposes a novel means of quantifying AV accident risks by benchmarking against a more familiar and quantifiable risk - Human Behaviour. This method is used to proactively quantify AV safety relative to human drivers. Currently, anomalous driving behaviour stems from human susceptibilities such as fatigue or aggression. We exploit this observation and explore AV driving behaviour where driving anomalies are symptoms of technology errors. The comparative behaviours of AV and safe human driving can be used to measure AV accident risk. An end-to-end model AV is simulated using Convolutional Neural Networks (CNN) to compare human and AV driving behaviours. Using a machine learning technique called Gaussian Processes (GP), contextual driving anomalies are detected, the frequency and severity of which are used to derive a risk score. This paper offers a starting point for addressing the challenges surrounding AV risk modelling.",,,,,,,,,
title:estimatingtheexpectednumberofcrasheswithtrafficconflictsandthelomaxdistributionatheoreticalandnumericalexploration,W2793777246,10.1016/j.aap.2018.01.008,Estimating the expected number of crashes with traffic conflicts and the Lomax Distribution – A theoretical and numerical exploration,2018,,Accident Analysis {\&} Prevention,,116,Trajectory-related,groundtruth,1,,,,False,,seed,,,,,,,,,,
title:findingcriticalscenariosforautomateddrivingsystemsasystematicmappingstudy,W4225349279,10.1109/tse.2022.3170122,Finding Critical Scenarios for Automated Driving Systems: A Systematic Mapping Study,2022,,IEEE Transactions on Software Engineering,,146,Background,background,0,,,,False,,seed,"Scenario-based approaches have been receiving a huge amount of attention in research and engineering of automated driving systems. Due to the complexity and uncertainty of the driving environment, and the complexity of the driving task itself, the number of possible driving scenarios that an Automated Driving System or Advanced Driving-Assistance System may encounter is virtually infinite. Therefore it is essential to be able to reason about the identification of scenarios and in particular critical ones that may impose unacceptable risk if not considered. Critical scenarios are particularly important to support design, verification and validation efforts, and as a basis for a safety case. In this paper, we present the results of a systematic mapping study in the context of autonomous driving. The main contributions are: (i) introducing a comprehensive taxonomy for critical scenario identification methods; (ii) giving an overview of the state-of-the-art research based on the taxonomy encompassing 86 papers between 2017 and 2020; and (iii) identifying open issues and directions for further research. The provided taxonomy comprises three main perspectives encompassing the problem definition (the why), the solution (the methods to derive scenarios), and the assessment of the established scenarios. In addition, we discuss open research issues considering the perspectives of coverage, practicability, and scenario space explosion.",,,,,,,,,
