canonical_id,openalex_id,doi,title,year,publication_date,venue,work_type,cited_by,category,class_score,margin,seed_sim,rank_score,needs_review,review_reason,source,matched_query
title:cooolchallengeofoutoflabelanovelbenchmarkforautonomousdriving,W4405252871,10.48550/arxiv.2412.05462,COOOL: Challenge Of Out-Of-Label A Novel Benchmark for Autonomous Driving,2024,,arXiv (Cornell University),,1,Perception-related,0.7154,0.3787,0.7244,0.7344,False,,auto-discovered,"""anomaly detection"" ""autonomous driving"""
title:sceneleveltriggersusingfoundationmodelembeddings,W4416183990,10.1109/iavvc61942.2025.11219448,Scene-Level Triggers Using Foundation Model Embeddings,2025,,,,0,Perception-related,0.6653,0.3586,0.7144,0.7344,False,,auto-discovered,"""edge case"" ""autonomous driving"""
title:anomalyawaresemanticsegmentationviastylealignedoodaugmentation,W4390190624,10.1109/iccvw60793.2023.00439,Anomaly-Aware Semantic Segmentation via Style-Aligned OoD Augmentation,2023,,,,6,Perception-related,0.7463,0.4615,0.7342,0.7342,False,,auto-discovered,"""out-of-distribution"" ""autonomous driving"""
title:generaladanomalydetectionacrossdomainsbyattendingtodistortedfeatures,W4402345809,10.48550/arxiv.2407.12427,GeneralAD: Anomaly Detection Across Domains by Attending to Distorted Features,2024,,arXiv (Cornell University),,0,Perception-related,0.7557,0.4831,0.7238,0.7338,False,,auto-discovered,"""anomaly detection"" ""self-driving"""
title:aprobabilisticadversarialautoencoderfornoveltydetectionleveraginglightweightdesignandreconstructionloss,W4411055178,10.1109/access.2025.3577080,A Probabilistic Adversarial Autoencoder for Novelty Detection: Leveraging Lightweight Design and Reconstruction Loss,2025,,IEEE Access,,2,Perception-related,0.7177,0.4796,0.7114,0.7314,False,,auto-discovered,"""novelty detection"" ""self-driving"""
title:divnedsdiversenaturalisticedgedrivingscenedatasetforautonomousvehiclesceneunderstanding,W4396215008,10.1109/access.2024.3394530,DivNEDS: Diverse Naturalistic Edge Driving Scene Dataset for Autonomous Vehicle Scene Understanding,2024,,IEEE Access,,3,Perception-related,0.6463,0.2843,0.7205,0.7305,False,,auto-discovered,"""out-of-distribution"" ""autonomous vehicle"""
title:runtimesafetymonitoringofdeepneuralnetworksforperceptionasurvey,W4416156998,10.48550/arxiv.2511.05982,Runtime Safety Monitoring of Deep Neural Networks for Perception: A Survey,2025,,ArXiv.org,,0,Perception-related,0.7156,0.3719,0.7102,0.7302,False,,auto-discovered,"""novelty detection"" ""automated driving"""
title:generatingoutofdistributionscenariosusinglanguagemodels,W4413925095,10.1109/icra55743.2025.11127950,Generating Out-of-Distribution Scenarios Using Language Models,2025,,,,2,Perception-related,0.6633,0.2945,0.7062,0.7262,False,,auto-discovered,"""edge case"" ""autonomous driving"""
title:umadunsupervisedmasklevelanomalydetectionforautonomousdriving,W4399554328,10.48550/arxiv.2406.06370,UMAD: Unsupervised Mask-Level Anomaly Detection for Autonomous Driving,2024,,arXiv (Cornell University),,0,Perception-related,0.6703,0.3979,0.7148,0.7248,False,,auto-discovered,"""anomaly detection"" ""autonomous driving"""
title:realtimequalitymonitoringandanomalydetectionforvisionsensorsinconnectedandautonomousvehicles,W4406947102,10.1109/access.2025.3536524,Real-Time Quality Monitoring and Anomaly Detection for Vision Sensors in Connected and Autonomous Vehicles,2025,,IEEE Access,,4,Perception-related,0.7158,0.3379,0.7048,0.7248,False,,auto-discovered,"""anomaly detection"" ""autonomous vehicle"""
title:selfsupervisedlikelihoodestimationwithenergyguidanceforanomalysegmentationinurbanscenes,W4393157377,10.1609/aaai.v38i19.30162,Self-Supervised Likelihood Estimation with Energy Guidance for Anomaly Segmentation in Urban Scenes,2024,,Proceedings of the AAAI Conference on Artificial Intelligence,,4,Perception-related,0.6701,0.3372,0.7124,0.7224,False,,auto-discovered,"""anomaly detection"" ""autonomous driving"""
title:unsupervisedroadanomalydetectionwithlanguageanchors,W4383109298,10.1109/icra48891.2023.10160470,Unsupervised Road Anomaly Detection with Language Anchors,2023,,,,17,Perception-related,0.7371,0.4262,0.7223,0.7223,False,,auto-discovered,"""anomaly detection"" ""autonomous driving"""
title:pixelwisegradientuncertaintyforconvolutionalneuralnetworksappliedtooutofdistributionsegmentation,W4324297250,10.48550/arxiv.2303.06920,Pixel-wise Gradient Uncertainty for Convolutional Neural Networks applied to Out-of-Distribution Segmentation,2023,,arXiv (Cornell University),,2,Perception-related,0.7444,0.4718,0.7201,0.7201,False,,auto-discovered,"""out-of-distribution"" ""automated driving"""
title:neconeuralcollapsebasedoutofdistributiondetection,W4387561539,10.48550/arxiv.2310.06823,NECO: NEural Collapse Based Out-of-distribution detection,2023,,arXiv (Cornell University),,3,Perception-related,0.7485,0.5104,0.7192,0.7192,False,,auto-discovered,"""novelty detection"" ""autonomous driving"""
title:improvingoutofdistributiondetectionbyenforcingconfidencemargin,W4408891187,10.1007/s10115-025-02380-y,Improving out-of-distribution detection by enforcing confidence margin,2025,,Knowledge and Information Systems,,1,Perception-related,0.7552,0.3902,0.6986,0.7186,False,,auto-discovered,"""out-of-distribution"" ""autonomous driving"""
title:safedrivingadversarialtrajectorycanmisleadtowardmorestealthyadversarialattackagainstautonomousdrivingpredictionmodule,W4404700041,10.1145/3705611,Safe Driving Adversarial Trajectory Can Mislead: Toward More Stealthy Adversarial Attack Against Autonomous Driving Prediction Module,2024,,ACM Transactions on Privacy and Security,,7,Perception-related,0.6327,0.2609,0.7069,0.7169,False,,auto-discovered,"""anomaly detection"" ""autonomous vehicle"""
title:unexpectedobjectdetectionbasedonclasscorrelationinsemanticsegmentationforautomaticdrivingscenes,W4393201712,10.3233/jifs-237799,Unexpected object detection based on class correlation in semantic segmentation for automatic driving scenes,2024,,Journal of Intelligent & Fuzzy Systems,,1,Perception-related,0.7696,0.361,0.7043,0.7143,False,,auto-discovered,"""out-of-distribution"" ""autonomous driving"""
title:towardsroadanomalydetectionforautonomousvehiclesystemusingdeeplearningtechnique,W4408017682,10.1109/inspect63485.2024.10896108,Towards Road Anomaly Detection for Autonomous Vehicle System Using Deep Learning Technique,2024,,,,2,Perception-related,0.679,0.2602,0.7022,0.7122,False,,auto-discovered,"""anomaly detection"" ""autonomous driving"""
title:quantilebasedmaximumlikelihoodtrainingforoutlierdetection,W4393146666,10.1609/aaai.v38i19.30159,Quantile-Based Maximum Likelihood Training for Outlier Detection,2024,,Proceedings of the AAAI Conference on Artificial Intelligence,,6,Perception-related,0.7127,0.4187,0.702,0.712,False,,auto-discovered,"""novelty detection"" ""autonomous vehicle"""
title:marginboundedconfidencescoresforoutofdistributiondetection,W4407832487,10.1109/icdm59182.2024.00053,Margin-Bounded Confidence Scores for Out-of-Distribution Detection,2024,,,,3,Perception-related,0.7566,0.3891,0.701,0.711,False,,auto-discovered,"""out-of-distribution"" ""autonomous driving"""
title:openadopenworldautonomousdrivingbenchmarkfor3dobjectdetection,W4405134085,10.32388/j2781i,OpenAD: Open-World Autonomous Driving Benchmark for 3D Object Detection,2024,,Qeios,,5,Perception-related,0.6365,0.3078,0.7006,0.7106,False,,auto-discovered,"""corner case"" ""autonomous driving"""
title:enhancingoutofdistributiondetectionwithmultitestingbasedlayerwisefeaturefusion,W4393023514,10.48550/arxiv.2403.10803,Enhancing Out-of-Distribution Detection with Multitesting-based Layer-wise Feature Fusion,2024,,arXiv (Cornell University),,0,Perception-related,0.7348,0.5244,0.6996,0.7096,False,,auto-discovered,"""novelty detection"" ""self-driving"""
title:outofdistributiondetectionwithprototypesimilarity,W4407737246,10.1109/ickg63256.2024.00037,Out-of-Distribution Detection with Prototype Similarity,2024,,,,0,Perception-related,0.7623,0.4778,0.6989,0.7089,False,,auto-discovered,"""out-of-distribution"" ""self-driving"""
title:securingdnnforsmartvehiclesanoverviewofadversarialattacksdefensesandframeworks,W4323045133,10.1186/s44147-023-00184-x,"Securing DNN for smart vehicles: an overview of adversarial attacks, defenses, and frameworks",2023,,Journal of Engineering and Applied Science,,15,Perception-related,0.663,0.2832,0.7089,0.7089,False,,auto-discovered,"""corner case"" ""autonomous vehicle"""
title:revisitingoutofdistributiondetectioninlidarbased3dobjectdetection,W4400647149,10.1109/iv55156.2024.10588849,Revisiting Out-of-Distribution Detection in LiDAR-based 3D Object Detection,2024,,,,4,Perception-related,0.7351,0.4102,0.6985,0.7085,False,,auto-discovered,"""out-of-distribution"" ""automated driving"""
title:learningrepresentationforanomalydetectionofvehicletrajectories,W4389667627,10.1109/iros55552.2023.10342070,Learning Representation for Anomaly Detection of Vehicle Trajectories,2023,,,,14,Perception-related,0.6924,0.3146,0.7085,0.7085,False,,auto-discovered,"""anomaly detection"" ""autonomous driving"""
title:assessingcriticaltrafficscenariosamodularevaluationframework,W4410944587,10.1109/tits.2025.3546081,Assessing Critical Traffic Scenarios: A Modular Evaluation Framework,2025,,IEEE Transactions on Intelligent Transportation Systems,,3,Trajectory-related,0.8088,0.4613,0.7731,0.7931,False,,auto-discovered,"""safety-critical scenario"" ""automated driving"""
title:asurveyonsafetycriticaldrivingscenariogenerationamethodologicalperspective,W4361861254,10.1109/tits.2023.3259322,A Survey on Safety-Critical Driving Scenario Generation—A Methodological Perspective,2023,,IEEE Transactions on Intelligent Transportation Systems,,204,Trajectory-related,0.7677,0.3577,0.7743,0.7743,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving"""
title:explainablesafetyargumentationforthedeploymentofautomatedvehicles,W4404613974,10.3390/electronics13234606,Explainable Safety Argumentation for the Deployment of Automated Vehicles,2024,,Electronics,,3,Trajectory-related,0.7601,0.4414,0.7599,0.7699,False,,auto-discovered,"""edge case"" ""automated driving"""
title:fromrealworldtrafficdatatorelevantcriticalscenarios,W4416184090,10.1109/iavvc61942.2025.11219576,From Real-World Traffic Data to Relevant Critical Scenarios,2025,,,,0,Trajectory-related,0.8254,0.4168,0.7483,0.7683,False,,auto-discovered,"""critical scenario"" ""automated driving"""
title:atestingandevaluationmethodforthecarfollowingmodelsofautomatedvehiclesbasedondrivingsimulator,W4401512537,10.3390/systems12080298,A Testing and Evaluation Method for the Car-Following Models of Automated Vehicles Based on Driving Simulator,2024,,Systems,,8,Trajectory-related,0.7433,0.4343,0.7576,0.7676,False,,auto-discovered,"""surrogate safety"" ""autonomous driving"""
title:adversarialgenerationandcollaborativeevolutionofsafetycriticalscenariosforautonomousvehicles,W4415239881,10.48550/arxiv.2508.14527,Adversarial Generation and Collaborative Evolution of Safety-Critical Scenarios for Autonomous Vehicles,2025,,ArXiv.org,,0,Trajectory-related,0.7011,0.3694,0.7453,0.7653,False,,auto-discovered,"""safety-critical scenario"" ""autonomous vehicle"""
title:automatedvehiclesatunsignalizedintersectionssafetyandefficiencyimplicationsofmixedhumanandautomatedtraffic,W4403578311,10.48550/arxiv.2410.12538,Automated Vehicles at Unsignalized Intersections: Safety and Efficiency Implications of Mixed Human and Automated Traffic,2024,,arXiv (Cornell University),,2,Trajectory-related,0.6916,0.2553,0.7537,0.7637,False,,auto-discovered,"""surrogate safety"" ""automated driving"""
title:canaigeneratemorecomprehensivetestscenariosreviewonautomateddrivingsystemstestscenariogenerationmethods,W7116070609,10.48550/arxiv.2512.15422,Can AI Generate more Comprehensive Test Scenarios? Review on Automated Driving Systems Test Scenario Generation Methods,2025,,arXiv (Cornell University),,0,Trajectory-related,0.7549,0.3774,0.7369,0.7569,False,,auto-discovered,"""scenario generation"" ""automated driving"""
title:cadrecontrollableanddiversegenerationofsafetycriticaldrivingscenariosusingrealworldtrajectories,W4413926244,10.1109/icra55743.2025.11127319,CaDRE: Controllable and Diverse Generation of Safety-Critical Driving Scenarios Using Real-World Trajectories,2025,,,,1,Trajectory-related,0.7638,0.3645,0.7364,0.7564,False,,auto-discovered,"""safety-critical scenario"" ""autonomous vehicle"""
title:adversarialgenerationofsafetycriticallanechangescenariosforautonomousvehicles,W4391768527,10.1109/itsc57777.2023.10422684,Adversarial Generation of Safety-Critical Lane-Change Scenarios for Autonomous Vehicles,2023,,,,3,Trajectory-related,0.7037,0.3225,0.755,0.755,False,,auto-discovered,"""safety-critical scenario"" ""autonomous vehicle"""
title:ldscenellmguideddiffusionforcontrollablegenerationofadversarialsafetycriticaldrivingscenarios,W4413241602,10.1016/j.trc.2026.105694,LD-scene: LLM-guided diffusion for controllable generation of adversarial safety-critical driving scenarios,2025,,Transportation Research Part C Emerging Technologies,,0,Trajectory-related,0.653,0.3661,0.7337,0.7537,False,,auto-discovered,"""safety-critical scenario"" ""autonomous vehicle"""
title:ondemandscenariogenerationfortestingautomateddrivingsystems,W4411450096,10.1145/3715722,On-Demand Scenario Generation for Testing Automated Driving Systems,2025,,Proceedings of the ACM on software engineering.,,6,Trajectory-related,0.764,0.4202,0.7336,0.7536,False,,auto-discovered,"""rare event"" ""autonomous driving"""
title:generatingcriticalscenariosfortestingautomateddrivingsystems,W4405056839,10.48550/arxiv.2412.02574,Generating Critical Scenarios for Testing Automated Driving Systems,2024,,arXiv (Cornell University),,0,Trajectory-related,0.7088,0.2774,0.7432,0.7532,False,,auto-discovered,"""critical scenario"" ""automated driving"""
title:controllablelatentdiffusionfortrafficsimulation,W4414900400,10.48550/arxiv.2503.11771,Controllable Latent Diffusion for Traffic Simulation,2025,,ArXiv.org,,0,Trajectory-related,0.7143,0.3118,0.7323,0.7523,False,,auto-discovered,"""edge case"" ""autonomous driving"""
title:safetycriticalphysicallyinformedscenariogenerationandexecutionforautonomousvehiclesoftwarevalidation,W4416183854,10.1109/iavvc61942.2025.11219468,Safety-Critical Physically Informed Scenario Generation and Execution for Autonomous Vehicle Software Validation,2025,,,,0,Trajectory-related,0.6983,0.3469,0.7312,0.7512,False,,auto-discovered,"""edge case"" ""autonomous driving"""
title:testvectordevelopmentforverificationandvalidationofheavydutyautonomousvehicleoperations,W4394618459,10.4271/2024-01-1973,Test Vector Development for Verification and Validation of Heavy-Duty Autonomous Vehicle Operations,2024,,SAE International Journal of Advances and Current Practices in Mobility,,1,Trajectory-related,0.724,0.376,0.7411,0.7511,False,,auto-discovered,"""edge case"" ""autonomous driving"""
title:towardsbenchmarkingandassessingthesafetyandrobustnessofautonomousdrivingonsafetycriticalscenarios,W4416123579,10.48550/arxiv.2503.23708,Towards Benchmarking and Assessing the Safety and Robustness of Autonomous Driving on Safety-critical Scenarios,2025,,ArXiv.org,,0,Trajectory-related,0.7515,0.3723,0.7299,0.7499,False,,auto-discovered,"""edge case"" ""autonomous driving"""
title:adrivervehiclemodelforadsscenariobasedtesting,W4393253057,10.1109/tits.2024.3373531,A Driver-Vehicle Model for ADS Scenario-Based Testing,2024,,IEEE Transactions on Intelligent Transportation Systems,,14,Trajectory-related,0.719,0.4003,0.7396,0.7496,False,,auto-discovered,"""safety-critical scenario"" ""automated driving"""
title:fromwordstocollisionsllmguidedevaluationandadversarialgenerationofsafetycriticaldrivingscenarios,W4407185704,10.48550/arxiv.2502.02145,From Words to Collisions: LLM-Guided Evaluation and Adversarial Generation of Safety-Critical Driving Scenarios,2025,,ArXiv.org,,0,Trajectory-related,0.6709,0.4094,0.7278,0.7478,False,,auto-discovered,"""safety-critical scenario"" ""autonomous vehicle"""
title:evaluationofdifferentgenerativemodelstosupportthevalidationofadvanceddriverassistancesystems,W4410761506,10.3390/applmech6020039,Evaluation of Different Generative Models to Support the Validation of Advanced Driver Assistance Systems,2025,,Applied Mechanics,,3,Trajectory-related,0.7271,0.3435,0.7272,0.7472,False,,auto-discovered,"""scenario generation"" ""autonomous driving"""
title:autonomousvehicletestingscenariogenerationwithdifficultyfidelitybalance,W4415465751,10.1061/9780784486269.012,Autonomous Vehicle Testing Scenario Generation with Difficulty-Fidelity Balance,2025,,,,0,Trajectory-related,0.6755,0.3455,0.7253,0.7453,False,,auto-discovered,"""safety-critical scenario"" ""autonomous vehicle"""
title:rcgsafetycriticalscenariogenerationforrobustautonomousdrivingviarealworldcrashgrounding,W4414943224,10.48550/arxiv.2507.10749,RCG: Safety-Critical Scenario Generation for Robust Autonomous Driving via Real-World Crash Grounding,2025,,ArXiv.org,,0,Trajectory-related,0.679,0.3735,0.7251,0.7451,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving"""
title:controllablecollisionscenariogenerationviacollisionpatternprediction,W4415269793,10.48550/arxiv.2510.12206,Controllable Collision Scenario Generation via Collision Pattern Prediction,2025,,ArXiv.org,,0,Trajectory-related,0.7309,0.3755,0.7249,0.7449,False,,auto-discovered,"""safety-critical scenario"" ""autonomous vehicle"""
title:hadgenhumanlikeanddiversedrivingbehaviormodelingforcontrollablescenariogeneration,W4414982678,10.1016/j.aap.2025.108270,HAD-Gen: Human-like and diverse driving behavior modeling for controllable scenario generation,2025,,Accident Analysis & Prevention,,3,Trajectory-related,0.7189,0.2532,0.7247,0.7447,False,,auto-discovered,"""scenario generation"" ""autonomous vehicle"""
title:2coool2ndworkshoponthechallengeofoutoflabelhazardsinautonomousdriving,W7131075725,10.1109/iccvw69036.2025.00084,2COOOL: 2nd Workshop on the Challenge of Out-of-Label Hazards in Autonomous Driving,2025,,,,0,Trajectory-related,0.7185,0.3013,0.7246,0.7446,True,short/workshop item,auto-discovered,"""out-of-distribution"" ""self-driving"""
title:generatingedgecasesfortestingautonomousvehiclesusingrealworlddata,W4390235561,10.3390/s24010108,Generating Edge Cases for Testing Autonomous Vehicles Using Real-World Data,2023,,Sensors,,15,Trajectory-related,0.7496,0.349,0.7439,0.7439,False,,auto-discovered,"""edge case"" ""automated driving"""
title:authsimtowardauthenticandeffectivesafetycriticalscenariogenerationforautonomousdrivingtests,W4413553311,10.1109/tits.2025.3586608,AuthSim: Toward Authentic and Effective Safety-Critical Scenario Generation for Autonomous Driving Tests,2025,,IEEE Transactions on Intelligent Transportation Systems,,1,Trajectory-related,0.7872,0.3698,0.7204,0.7404,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving"""
title:challengesandadvancesinscenariobasedvalidationforautomateddrivingsystems,W4416183944,10.1109/iavvc61942.2025.11219508,Challenges and Advances in Scenario-Based Validation for Automated Driving Systems,2025,,,,1,Trajectory-related,0.6757,0.3864,0.7197,0.7397,False,,auto-discovered,"""scenario generation"" ""automated driving"""
title:safety2drivesafetycriticalscenariobenchmarkfortheevaluationofautonomousdriving,W4415020693,10.48550/arxiv.2505.13872,Safety2Drive: Safety-Critical Scenario Benchmark for the Evaluation of Autonomous Driving,2025,,ArXiv.org,,0,Trajectory-related,0.7363,0.38,0.718,0.738,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving"""
title:riskscenariogenerationforautonomousdrivingsystemsbasedonscenarioevaluationmodel,W4385482904,10.1109/ijcnn54540.2023.10191164,Risk Scenario Generation for Autonomous Driving Systems based on Scenario Evaluation Model,2023,,,,1,Trajectory-related,0.7258,0.3133,0.7378,0.7378,False,,auto-discovered,"""scenario generation"" ""autonomous driving"""
title:worldmodelbasedendtoendscenegenerationforaccidentanticipationinautonomousdriving,W4412993735,10.1038/s44172-025-00474-7,World model-based end-to-end scene generation for accident anticipation in autonomous driving,2025,,Communications Engineering,,2,Trajectory-related,0.6499,0.3397,0.7171,0.7371,False,,auto-discovered,"""edge case"" ""autonomous driving"""
title:integratingendtoendandmodulardrivingapproachesforonlinecornercasedetectioninautonomousdriving,W4406611173,10.1109/smc54092.2024.10831409,Integrating End-to-End and Modular Driving Approaches for Online Corner Case Detection in Autonomous Driving,2024,,,,2,Trajectory-related,0.6396,0.2653,0.7259,0.7359,False,,auto-discovered,"""corner case"" ""autonomous driving"""
title:validationofacriticaldrivingscenarioidentificationalgorithmforautomateddrivingfunctionsusingrealandsyntheticobjectlists,W4416183844,10.1109/iavvc61942.2025.11219539,Validation of a Critical Driving Scenario Identification Algorithm for Automated Driving Functions Using Real and Synthetic Object Lists,2025,,,,0,Trajectory-related,0.771,0.3591,0.7157,0.7357,False,,auto-discovered,"""critical scenario"" ""automated driving"""
title:advscesafetycriticalscenariogenerationfortestingautonomousdrivingsystems,W4321603468,10.1360/ssi-2022-0317,AdvSce: safety-critical scenario generation for testing autonomous driving systems,2023,,Scientia Sinica Informationis,,2,Trajectory-related,0.6992,0.3472,0.7333,0.7333,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving"""
